|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|embedding|cluster
1045|1045|0629c94e9b|3|89|2140.9|green_platinum|FulfilledbyMerchant|new|not refubirshed|TOOLS|yes|24.06|reputation: green_platinum; products: 3; stock: 89; priceproduct: 24.06; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: TOOLS; regularprice: yes; Cluster:0|57|"[ 0.00316717 -0.00196822  0.00236975 ...  0.00101976  0.02281565
  0.02080427]"|0
1046|1046|062a125790|1|1|21500.0|newbie|DropShipping|used|not refubirshed|ACC CARS & VANS|no|21500.0|reputation: newbie; products: 1; stock: 1; priceproduct: 21500.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: used; Categories: ACC CARS & VANS; regularprice: no; Cluster:4|58|"[-0.00248248 -0.01168356 -0.02746635 ...  0.01202393  0.01586418
  0.00414363]"|4
1047|1047|062a15f4b3|1|5|600.0|green|Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS|no|120.0|reputation: green; products: 1; stock: 5; priceproduct: 120.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: HOUSEHOLD ITEMS; regularprice: no; Cluster:1|56|"[ 0.00685738  0.00921141  0.02272147 ... -0.0096866   0.02123009
  0.00644433]"|1
1048|1048|062a490b73|2|10|1010.0|green_silver|Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS,APPAREL ACCESSORIES|no|101.0|reputation: green_silver; products: 2; stock: 10; priceproduct: 101.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: HOUSEHOLD ITEMS,APPAREL ACCESSORIES; regularprice: no; Cluster:1|64|"[ 0.01210013 -0.00956615  0.02694417 ... -0.00523664  0.02205613
  0.00802927]"|1
1049|1049|062a94df2b|1|100|636.16|green|Cross Docking|new|not refubirshed|HAIR|no|6.36|reputation: green; products: 1; stock: 100; priceproduct: 6.36; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: HAIR; regularprice: no; Cluster:1|54|"[-0.00188388  0.0162746   0.02196693 ... -0.00782695  0.0188634
  0.00378479]"|1
1050|1050|062b8bf7c7|3|3|9300.0|green|Cross Docking|used,new|not refubirshed|WEARABLES,HEALTH|no|3100.0|reputation: green; products: 3; stock: 3; priceproduct: 3100.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used,new; Categories: WEARABLES,HEALTH; regularprice: no; Cluster:1|61|[0.00769859 0.01050677 0.02948007 ... 0.00656004 0.03316317 0.01109514]|1
1051|1051|062f4b4d66|1|1|10300.0|newbie|Cross Docking|new|not refubirshed|ANTIQUES & HOBBIES|no|10300.0|reputation: newbie; products: 1; stock: 1; priceproduct: 10300.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: ANTIQUES & HOBBIES; regularprice: no; Cluster:2|61|"[-0.01749288 -0.00602795  0.00338191 ... -0.00341813  0.01608979
  0.00291675]"|2
1052|1052|0632687b88|1|15|180.0|newbie|Other|new|not refubirshed|OTHER|no|12.0|reputation: newbie; products: 1; stock: 15; priceproduct: 12.0; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; Categories: OTHER; regularprice: no; Cluster:4|51|"[-0.01826779 -0.01012074 -0.00403272 ...  0.01012816  0.02746847
 -0.00074431]"|4
1053|1053|063516f739|1|1|750.0|green|Cross Docking|used|not refubirshed|TOOLS|no|750.0|reputation: green; products: 1; stock: 1; priceproduct: 750.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; Categories: TOOLS; regularprice: no; Cluster:1|54|"[-0.01001914  0.01832535  0.02141156 ... -0.01609559  0.01972817
  0.01148841]"|1
1054|1054|06396f4a6b|2|116|2063.14|green_platinum|FulfilledbyMerchant|new|not refubirshed|HOUSEHOLD APPLIANCES,AUDIO & GENERAL ELECTRONICS|yes|17.79|reputation: green_platinum; products: 2; stock: 116; priceproduct: 17.79; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: HOUSEHOLD APPLIANCES,AUDIO & GENERAL ELECTRONICS; regularprice: yes; Cluster:0|69|"[ 0.00927178 -0.01431    -0.00352675 ... -0.00869909  0.02311057
  0.02295109]"|0
1055|1055|06399017c5|2|22|10150.0|green_gold|DropShipping|new|not refubirshed|HOME OUTDOORS|no|461.36|reputation: green_gold; products: 2; stock: 22; priceproduct: 461.36; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; Categories: HOME OUTDOORS; regularprice: no; Cluster:3|56|"[ 0.01334138 -0.00432744  0.02631258 ... -0.00780345  0.03340528
  0.00956552]"|3
1056|1056|0639b074ed|1|1|875.0|green_silver|Cross Docking|new|not refubirshed|SPORTS|no|875.0|reputation: green_silver; products: 1; stock: 1; priceproduct: 875.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: SPORTS; regularprice: no; Cluster:1|56|[0.00613105 0.00864054 0.00036833 ... 0.00308199 0.03353788 0.02863596]|1
