|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|totalcat|embedding|cluster
1454|1454|0859d260c9|2|4|478.0|green|Cross Docking|new|not refubirshed|CONSTRUCTION|no|119.5|reputation: green; products: 2; stock: 4; priceproduct: 119.5; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00614693  0.01045928  0.01996838 ... -0.01246196  0.01648926
  0.02188336]"|1
1455|1455|085c90d912|1|1|469.0|green|Cross Docking|new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|469.0|reputation: green; products: 1; stock: 1; priceproduct: 469.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:1|55|2|"[-0.01090708  0.00553957  0.02266698 ... -0.00993457  0.02158974
  0.01526842]"|1
1456|1456|085f6f3e1c|1|1|195000.0|newbie|DropShipping|used|not refubirshed|SPORTS|no|195000.0|reputation: newbie; products: 1; stock: 1; priceproduct: 195000.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[ 0.00584242  0.00155334 -0.03092215 ...  0.00310854  0.01362118
  0.00291935]"|2
1457|1457|0860f36ef1|2|59|500.0|green_silver|Cross Docking|new|not refubirshed|SPORTS|no|8.47|reputation: green_silver; products: 2; stock: 59; priceproduct: 8.47; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|57|1|"[-0.00017609 -0.01117963  0.01737883 ... -0.01203728  0.01154827
  0.02732464]"|1
1458|1458|086669783e|1|187|196.98|green_platinum|FulfilledbyMerchant|new|not refubirshed|AUDIO & GENERAL ELECTRONICS|yes|1.05|reputation: green_platinum; products: 1; stock: 187; priceproduct: 1.05; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:0|58|1|"[ 0.00246292 -0.01528922 -0.00421179 ... -0.00876724  0.02550748
  0.01794688]"|0
1459|1459|08698a8731|1|6|179.0|green|Cross Docking|new|not refubirshed|SPORTS|no|29.83|reputation: green; products: 1; stock: 6; priceproduct: 29.83; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[ 0.00112382  0.00770725  0.0214328  ... -0.00678902  0.02125579
  0.01799588]"|1
1460|1460|086fbd4acd|17|355|2292.75|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|BEAUTY PERSONAL CARE,FOODS,DRINKS|yes,no|6.46|reputation: green_platinum; products: 17; stock: 355; priceproduct: 6.46; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 3; regularprice: yes,no; Cluster:0|63|3|"[ 0.00602209 -0.00470548  0.01257847 ... -0.0064686   0.01815024
  0.01423473]"|0
1461|1461|087099473b|1|1|410.0|red|Other|new|not refubirshed|PET|no|410.0|reputation: red; products: 1; stock: 1; priceproduct: 410.0; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|53|1|"[-0.01380287 -0.01173358  0.01209741 ...  0.00640117  0.02977357
  0.00087689]"|2
1462|1462|0873ab59a2|1|12|297.0|green|Cross Docking|new|not refubirshed|HEALTH|no|24.75|reputation: green; products: 1; stock: 12; priceproduct: 24.75; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00022104  0.00936404  0.02796587 ... -0.01042594  0.02711932
  0.01246063]"|1
1463|1463|0877265910|12|17586|9859.95|green_gold|DropShipping,Cross Docking|new|not refubirshed|HOUSEHOLD APPLIANCES,APPAREL,TOYS AND GAMES,SMARTPHONES & TABLETS,ANTIQUES & HOBBIES,ACC CARS & VANS,SPORTS,BABY,ACC MOTORCYCLES|yes,no|0.56|reputation: green_gold; products: 12; stock: 17586; priceproduct: 0.56; logistictype: DropShipping,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 9; regularprice: yes,no; Cluster:3|61|9|"[ 0.00970724  0.00475978  0.04363379 ... -0.00766144  0.03267279
  0.00514641]"|3
