seller_nickname,stock,price,regular_price,Products,total_amount,regular_total_amount,Kmeans,AgC
04508b8e10,133,1976.8,3298.0,2,262914.39999999997,6519486.399999999,1,3
04510cf557,236,4355.96,8392.97,6,1028006.56,36559441.6012,3,1
0451bd56fd,82,305.1,678.0,1,25018.2,206857.80000000002,1,3
0452c0dbae,4,1080.0,1200.0,2,4320.0,1296000.0,1,3
045e07090c,35,814.61,940.22,3,28511.350000000002,765912.6142000001,1,3
0470eed69c,98,950.95,1045.0,4,93193.1,993742.75,1,3
04742003c5,1286,637.45,1104.9,5,819760.7000000001,704318.5050000001,1,3
047f178c1d,6600,876.0,1030.7,2,5781600.0,902893.2000000001,0,1
04824f1926,203,3303.23,4467.0,3,670555.6900000001,14755528.41,1,1
0483bc25ca,284,297.0,424.29,1,84348.0,126014.13,1,3
0484abe2c7,193,394.32,1028.46,2,76103.76,405542.3472,1,3
0488a818cf,597,259.26,298.0,1,154778.22,77259.48,1,3
048c39b115,1234,333.0,620.0,3,410922.0,206460.0,1,3
0495b16837,24,344.84,556.2,2,8276.16,191800.008,1,3
0496f644b1,115,2459.58,3182.0,2,282851.7,7826383.56,1,3
04973c39fd,368,2233.24,3178.43,5,821832.32,7098197.013199999,1,1
0498cc0dd4,97,3438.16,4911.66,1,333501.51999999996,16887072.9456,1,1
049c072884,4492,1598.05,4508.15,2,7178440.6,7204249.107499999,1,1
049c5cf22a,5,384.0,480.0,1,1920.0,184320.0,1,3
049e72985a,3,869.83,935.3,1,2609.4900000000002,813551.999,1,3
04a23276f0,124,245.64,288.99,1,30459.359999999997,70987.5036,1,3
04a2d431bb,225,11533.18,12787.0,15,2594965.5,147474772.66,3,0
04a3e21ed1,32,2849.05,2999.0,1,91169.6,8544300.950000001,1,3
04a886e350,599,2448.2400000000002,2720.41,6,1466495.7600000002,6660216.5784,1,1
04af02f210,20,15038.89,19164.4,13,300777.8,288211303.51600003,2,0
04b118a1b1,7,950.0,1000.0,1,6650.0,950000.0,1,3
04ba65cb1c,467,595.99,892.3499999999999,4,278327.33,531831.6765,1,3
04bb1680fe,97,312.0,390.0,1,30264.0,121680.0,1,3
04bd0d12df,15,302.6,356.0,1,4539.0,107725.6,1,3
04be62a290,25,798.03,1698.0,2,19950.75,1355054.94,1,3
04c0eed0fe,120,13545.0,21485.0,5,1625400.0,291014325.0,2,0
04c64a3219,1,6175.0,6500.0,1,6175.0,40137500.0,3,1
04c67f9c7f,4,189.05,199.0,1,756.2,37620.950000000004,1,3
04d2f2170b,50,8286.48,11530.0,6,414324.0,95543114.39999999,3,0
04d9bbc6fa,33,270.75,285.0,1,8934.75,77163.75,1,3
04da02fe42,33,603.25,635.0,1,19907.25,383063.75,1,3
04e8203696,18,301.0,350.0,1,5418.0,105350.0,1,3
04ea882e6c,6,418.0,440.0,1,2508.0,183920.0,1,3
04ec1af355,17,374.25,499.0,1,6362.25,186750.75,1,3
04fdae6101,107,4521.06,6189.96,7,483753.42000000004,27985180.557600003,3,1
04fe4137ac,4507,3763.13,3961.19,16,16960426.91,14906472.924700001,0,2
05007abfe3,31,1800.9099999999999,1895.7,5,55828.20999999999,3413985.087,1,3
05072c92fc,724,10556.4,11112.0,8,7642833.6,117302716.8,3,0
05084655b6,8,1053.57,1211.0,1,8428.56,1275873.27,1,3
0508ffa029,7,8768.5,9230.0,3,61379.5,80933255.0,3,1
050c1a25b0,1292,17782.13,25780.420000000002,16,22974511.96,458430779.89460003,2,0
050e2d3644,8,14192.86,24898.0,2,113542.88,353373828.28000003,2,0
0510e3db82,1829,649.29,1272.01,2,1187551.41,825903.3729,1,3
051159d8c0,5,510.67,729.53,1,2553.35,372549.0851,1,3
05115c9372,44,267.5,334.46,1,11770.0,89468.04999999999,1,3
05159e17b4,238,567.77,868.0,2,135129.26,492824.36,1,3
051733b2a9,40,380.14,458.0,1,15205.599999999999,174104.12,1,3
051804942c,200,328.29,382.16,1,65658.0,125459.30640000002,1,3
05199ba753,85,281.53,507.66999999999996,3,23930.05,142924.33509999997,1,3
051d58ffa9,95,3038.4,5697.0,3,288648.0,17309764.8,1,1
051ef2c36f,2,1025.05,1079.0,1,2050.1,1106028.95,1,3
0529a6b6da,1997,949.05,999.0,1,1895252.8499999999,948100.95,1,3
052b9c3c13,3940,6000.0,9850.0,5,23640000.0,59100000.0,0,2
053cb181c8,7,187.15,197.0,1,1310.05,36868.55,1,3
054204f386,1001,860.47,905.9300000000001,3,861330.47,779525.5871000001,1,3
0545581a67,22,85.47,115.5,1,1880.34,9871.785,1,3
0549470df5,152,1272.3500000000001,1937.85,3,193397.2,2465623.4475000002,1,3
0549894303,1033,1262.46,1814.48,6,1304121.18,2290708.4208,1,3
054c682c52,377,7113.889999999999,11036.539999999999,2,2681936.53,78512731.54059999,3,1
05577d8476,424,10979.130000000001,12395.99,15,4655151.12,136097185.68870002,3,0
055c0a2ad6,10,1495.3,1574.0,2,14953.0,2353602.1999999997,1,3
055d7b961b,107,189.2,314.0,2,20244.399999999998,59408.799999999996,1,3
055fd11669,1,445.55,469.0,1,445.55,208962.95,1,3
0560df50be,4,3511.95,5145.0,2,14047.8,18068982.75,1,1
057010d36a,287,3996.87,10197.0,4,1147101.69,40756083.39,3,1
057a575ef7,109,716.25,955.0,2,78071.25,684018.75,1,3
057cfecf76,160,226.8,280.0,1,36288.0,63504.0,1,3
058174cb43,47,497.17,599.0,1,23366.99,297804.83,1,3
0583a11ef5,219,736.08,866.09,1,161201.52000000002,637511.5272,1,3
0584b13fb1,77,1064.9,1147.0,3,81997.3,1221440.3,1,3
0585c903d1,801,541.37,1466.0,4,433637.37,793648.42,1,3
058bb61bc8,2,558.6,798.0,1,1117.2,445762.80000000005,1,3
058c5fb4bf,1335,65.47,314.26,1,87402.45,20574.602199999998,1,3
05949e3787,746,148.0,400.0,1,110408.0,59200.0,1,3
05952670b9,5,188.1,209.0,1,940.5,39312.9,1,3
059ee74d19,266,6383.67,9752.6,13,1698056.22,62257380.042,3,0
05a5b2e182,200,268.43,282.65,1,53686.0,75871.7395,1,3
05a6298372,14,864.97,995.35,3,12109.58,860947.8895,1,3
05b138d1e1,1126,324.33000000000004,348.0,2,365195.5800000001,112866.84000000001,1,3
05b5296020,189,878.4,1098.0,2,166017.6,964483.2,1,3
05b78ab87c,50,99.0,110.0,1,4950.0,10890.0,1,3
05bd84bf20,610,778.17,1496.48,1,474683.69999999995,1164515.8416,1,3
05bfb71bd1,9,90.3,129.0,1,812.6999999999999,11648.699999999999,1,3
05c09b1700,16,88.2,147.0,1,1411.2,12965.4,1,3
05c61f44af,262,602.81,1497.0,3,157936.21999999997,902406.57,1,3
05d1281c9b,2,4929.15,5799.0,1,9858.3,28584140.849999998,1,1
05dffa1ddb,192,474.95,505.06,2,91190.4,239878.247,1,3
05e46ae8be,10,80.1,89.0,1,801.0,7128.9,1,3
05eb82b0ac,105,297.99,397.32,1,31288.95,118397.38680000001,1,3
05f00f4765,10,364.77,486.36,1,3647.7,177409.5372,1,3
05f0f3d900,77,327.75,345.0,1,25236.75,113073.75,1,3
05f18f188f,231,1755.3600000000001,3154.76,3,405488.16000000003,5537739.513600001,1,3
05f1a34c30,6,3228.1,3398.0,2,19368.6,10969083.799999999,1,3
05f3b7e196,72,3078.63,3240.81,1,221661.36000000002,9977254.8903,1,3
05f4a7f1b0,82,812.3299999999999,1185.65,5,66611.06,963139.0645,1,3
06042f9ca7,1368,571.9,602.0,2,782359.2,344283.8,1,3
0606f5db31,2000,533.12,561.18,1,1066240.0,299176.2816,1,3
06073bd6ae,100,105.8,230.0,1,10580.0,24334.0,1,3
060799f4aa,47,2528.14,2661.2,4,118822.57999999999,6727886.168,1,3
060a7ca3cc,3,4645.5,4890.0,1,13936.5,22716495.0,1,1
